label,total_minutes,switch_count,longest_session_minutes,productive_minutes,productive_ratio,tod_morning_minutes,tod_afternoon_minutes,tod_evening_minutes,tod_night_minutes,study_minutes,social_minutes,entertainment_minutes,productivity_minutes,travel_minutes,category_count,category_entropy
routine,796.73,9.57,103.48,451.0,0.5661,206.1,226.49,215.93,90.21,226.75,103.39,124.19,224.25,57.07,5,2.163057
routine,723.18,9.24,100.26,489.41,0.6767,225.29,259.91,222.01,76.22,238.92,122.7,93.23,250.49,53.57,5,2.119365
routine,834.87,9.23,129.19,460.05,0.5511,211.81,273.66,223.93,92.08,248.56,95.8,130.85,211.49,54.15,5,2.144161
routine,819.53,6.91,111.58,533.62,0.6511,188.99,236.64,210.05,81.12,268.3,124.64,122.27,265.32,31.83,5,2.064388
routine,796.28,8.59,124.37,481.45,0.6046,193.56,261.46,213.17,85.18,250.54,102.57,96.02,230.91,67.47,5,2.138775
routine,838.74,6.92,101.28,513.79,0.6126,200.77,238.39,215.55,107.72,269.8,131.08,130.57,243.99,61.04,5,2.157853
routine,825.16,7.06,109.87,497.91,0.6034,213.07,238.14,234.23,105.91,247.03,113.74,134.87,250.88,48.35,5,2.130383
routine,767.93,6.44,125.1,515.18,0.6709,224.6,246.11,208.18,85.26,240.35,120.57,85.45,274.83,31.88,5,2.029097
routine,839.53,8.73,121.48,535.01,0.6373,198.34,257.05,210.58,87.39,262.04,141.65,80.69,272.98,58.83,5,2.096741
routine,774.45,9.65,134.82,558.08,0.7206,199.92,256.95,235.45,76.11,291.77,105.8,110.04,266.31,37.15,5,2.036208
routine,811.5,6.08,137.16,522.26,0.6436,228.94,266.58,220.38,72.32,262.76,121.82,80.03,259.5,42.97,5,2.053122
routine,825.36,9.06,105.14,502.28,0.6086,208.76,252.49,218.25,104.9,291.29,119.16,84.15,211.0,60.42,5,2.099459
routine,770.78,9.98,126.0,482.58,0.6261,206.91,250.88,211.05,78.99,239.83,133.8,92.07,242.75,42.47,5,2.101621
routine,760.57,6.92,136.22,487.29,0.6407,227.98,228.54,216.9,96.76,266.18,103.21,84.26,221.11,55.24,5,2.093019
routine,745.71,9.23,107.62,504.75,0.6769,189.85,246.55,226.18,88.68,234.26,124.26,108.36,270.49,61.38,5,2.141062
routine,807.49,9.45,109.95,546.03,0.6762,194.51,247.43,226.09,81.14,272.14,95.91,104.16,273.89,43.57,5,2.045018
routine,749.98,10.0,133.44,525.65,0.7009,233.45,271.32,247.43,76.65,289.63,141.68,113.02,236.02,32.02,5,2.06774
routine,778.28,7.06,131.36,473.04,0.6078,207.75,246.15,252.87,109.82,239.96,93.52,102.74,233.07,69.41,5,2.145924
routine,786.69,8.17,129.92,491.12,0.6243,187.86,254.21,230.14,104.11,275.29,107.8,138.12,215.84,53.17,5,2.135225
routine,738.89,6.94,104.8,502.86,0.6806,229.51,237.31,234.73,94.78,292.25,101.15,115.7,210.61,57.01,5,2.109885
routine,770.31,6.95,115.83,507.45,0.6588,218.58,240.0,220.81,100.07,265.86,146.08,92.26,241.59,58.65,5,2.129763
routine,728.71,7.06,137.33,531.97,0.73,229.04,268.96,223.48,76.31,257.08,149.77,84.4,274.89,38.53,5,2.057902
routine,820.05,9.27,111.98,522.07,0.6366,218.17,271.95,211.71,74.62,274.25,149.23,119.24,247.82,30.31,5,2.077264
routine,732.84,8.54,110.56,487.79,0.6656,209.43,270.27,247.31,73.69,263.73,126.29,123.06,224.06,38.14,5,2.108465
routine,770.83,8.96,122.07,449.62,0.5833,206.38,225.48,208.76,105.32,244.37,136.27,118.23,205.25,40.48,5,2.138312
routine,828.47,7.23,135.96,526.61,0.6356,224.81,268.04,249.95,78.4,263.19,124.95,88.89,263.42,35.1,5,2.042877
routine,749.94,6.62,137.2,491.8,0.6558,228.23,273.81,245.54,105.26,232.2,143.05,104.38,259.61,54.83,5,2.142578
routine,722.97,9.24,110.67,504.81,0.6982,224.37,230.4,248.61,104.34,276.56,145.85,128.13,228.25,64.56,5,2.172458
routine,746.69,6.09,107.73,519.38,0.6956,201.41,268.22,253.34,81.16,282.16,108.31,127.72,237.22,39.1,5,2.080736
routine,796.98,9.88,107.14,526.66,0.6608,233.13,238.27,210.42,87.38,252.98,122.17,136.35,273.68,34.61,5,2.084316
routine,807.43,7.02,128.35,494.39,0.6123,185.08,271.28,231.92,98.78,246.96,120.69,103.11,247.43,53.06,5,2.124784
routine,809.03,7.26,133.92,502.44,0.621,220.99,240.02,220.46,86.34,271.94,94.2,119.85,230.5,43.21,5,2.081588
routine,768.29,9.61,124.62,459.61,0.5982,200.05,252.4,205.02,81.48,245.7,115.23,136.42,213.91,57.09,5,2.171503
routine,771.59,7.89,136.05,516.43,0.6693,224.8,233.48,209.24,90.62,265.6,117.9,106.53,250.83,38.55,5,2.074796
routine,795.95,6.8,100.98,510.75,0.6417,197.24,248.76,247.49,72.91,248.46,135.07,120.37,262.29,38.99,5,2.104028
routine,769.73,8.62,100.22,487.69,0.6336,222.55,263.5,210.33,87.01,269.08,131.78,109.66,218.61,39.76,5,2.103807
routine,741.11,7.83,132.06,533.31,0.7196,218.38,274.39,234.77,108.0,292.06,93.01,94.95,241.26,63.93,5,2.081521
routine,826.97,9.59,129.75,523.23,0.6327,208.73,237.96,217.36,95.51,267.89,120.29,129.83,255.35,51.91,5,2.126316
routine,811.9,7.09,112.79,510.36,0.6286,212.01,231.92,216.56,97.76,261.49,106.48,84.65,248.87,41.43,5,2.049764
routine,804.77,7.68,136.19,463.03,0.5754,214.2,259.78,247.84,100.62,229.5,122.56,104.95,233.53,38.27,5,2.109437
routine,765.65,7.68,129.9,455.04,0.5943,212.31,255.16,216.03,78.78,225.41,135.21,131.21,229.62,68.14,5,2.20573
routine,772.3,7.87,105.11,455.56,0.5899,216.11,226.35,224.7,92.58,227.03,130.75,104.26,228.53,36.6,5,2.113056
routine,723.25,6.85,113.07,484.49,0.6699,223.06,243.96,242.6,103.28,269.99,117.7,83.02,214.5,45.16,5,2.079135
routine,750.27,8.6,131.25,437.09,0.5826,217.59,262.71,252.48,77.97,230.73,122.37,139.99,206.36,44.0,5,2.160557
routine,722.45,8.8,130.68,449.5,0.6222,193.39,255.36,242.4,74.58,235.67,130.17,113.84,213.84,38.72,5,2.129726
routine,818.32,9.83,115.87,505.1,0.6172,220.75,228.8,239.53,95.09,292.53,91.54,98.72,212.57,57.09,5,2.081516
routine,732.23,9.13,113.89,543.59,0.7424,206.42,243.53,230.3,83.65,279.07,126.02,87.26,264.52,69.35,5,2.111313
routine,821.95,8.83,117.42,494.95,0.6022,221.69,273.27,218.5,102.33,282.56,147.65,118.14,212.39,63.15,5,2.16396
routine,784.58,9.32,103.47,494.34,0.6301,229.08,237.19,228.24,94.41,258.84,133.86,96.1,235.49,64.07,5,2.147022
routine,765.48,7.36,135.21,491.58,0.6422,220.06,238.81,205.51,107.92,227.01,100.91,92.73,264.57,61.91,5,2.114006
routine,730.27,7.96,131.72,514.61,0.7047,189.65,236.08,239.59,82.25,275.41,135.49,121.44,239.2,55.84,5,2.142121
routine,789.79,8.81,110.84,500.29,0.6335,197.57,231.03,214.63,74.78,258.13,115.53,124.76,242.16,43.23,5,2.110973
routine,784.3,9.91,120.99,496.31,0.6328,199.15,230.03,214.71,79.1,278.35,102.98,109.05,217.96,58.98,5,2.119879
routine,741.53,8.79,105.05,468.38,0.6316,228.42,249.54,248.64,92.96,225.99,106.46,138.46,242.39,52.13,5,2.151013
routine,776.33,9.29,116.03,473.74,0.6102,188.7,256.47,207.68,75.97,255.83,93.08,136.46,217.91,49.11,5,2.123649
routine,787.54,9.16,109.03,520.84,0.6614,211.13,247.53,227.14,104.41,246.27,97.11,125.87,274.57,54.25,5,2.106727
routine,838.8,6.83,108.44,494.85,0.5899,218.02,232.85,213.69,73.0,246.38,126.58,124.41,248.47,67.9,5,2.175288
routine,720.32,8.81,118.16,503.1,0.6984,219.37,271.2,244.39,95.0,256.54,107.48,93.89,246.57,58.28,5,2.109256
routine,799.34,9.31,102.86,525.12,0.6569,193.3,240.38,242.45,92.77,290.36,122.67,118.86,234.76,66.34,5,2.143434
routine,754.63,7.98,103.22,486.91,0.6452,186.99,246.6,221.12,80.01,233.7,131.98,136.56,253.21,50.02,5,2.153412
routine,730.96,8.69,110.78,555.85,0.7604,187.01,262.81,228.53,96.06,292.33,124.51,137.05,263.52,69.98,5,2.150635
routine,829.93,7.39,113.33,483.68,0.5828,218.51,267.89,221.49,97.75,237.7,128.09,109.5,245.97,33.65,5,2.090353
routine,754.59,7.29,138.81,553.11,0.733,205.21,250.73,254.41,96.31,291.16,123.01,107.29,261.95,42.58,5,2.067862
routine,785.11,9.04,108.14,472.06,0.6013,212.46,271.38,226.91,97.93,253.93,111.71,125.39,218.13,55.02,5,2.151139
routine,734.57,8.21,103.73,540.74,0.7361,234.61,270.65,228.07,74.7,293.12,104.36,89.5,247.62,52.03,5,2.058163
routine,819.86,9.92,109.75,515.05,0.6282,212.56,244.18,251.09,90.33,259.89,120.53,96.41,255.16,63.39,5,2.125868
routine,825.52,8.03,132.82,509.82,0.6176,199.14,239.93,234.35,109.96,285.48,137.4,104.9,224.34,67.37,5,2.14956
routine,778.76,7.82,112.87,478.1,0.6139,194.43,259.87,233.59,79.34,235.4,110.71,113.12,242.7,51.74,5,2.133241
routine,813.07,8.65,132.83,485.18,0.5967,234.04,249.77,206.85,90.09,228.06,132.31,128.68,257.13,45.44,5,2.138262
routine,790.82,8.89,116.4,552.07,0.6981,217.74,232.72,228.47,108.77,285.88,116.42,111.56,266.19,48.28,5,2.082438
routine,760.63,7.52,112.67,523.98,0.6889,220.94,262.97,248.62,71.44,273.49,141.11,131.14,250.49,64.37,5,2.164962
routine,728.21,6.39,125.35,538.65,0.7397,228.63,247.18,239.7,106.14,269.18,149.85,124.81,269.47,47.36,5,2.122274
routine,725.52,8.26,131.7,506.27,0.6978,193.5,228.95,248.54,94.79,280.73,112.49,88.73,225.54,51.25,5,2.08396
routine,748.9,6.04,132.19,503.92,0.6729,230.06,258.88,212.9,87.67,288.9,117.67,95.24,215.02,40.21,5,2.064753
routine,761.47,6.8,115.39,515.86,0.6774,209.16,236.86,233.6,92.99,266.13,115.46,95.01,249.73,63.81,5,2.120087
